Loc	Loc Zn	Loc Name	Loc Purp Desc	Loc/QTI	Flow Ind	DC	OPC	TSQ	OAC	IT	Auth Overrun Ind	Nom Cap Exceed Ind	All Qty Avail	Qty Reason	date	cycle
78477	PANHANDLE	DAIRICONCEPTS - ROOSEVELT	MQ	DPQ	D	6000	6000	2121	3879	N	N	N	Y		2022-03-03	intra3
10703	CENTRAL	DCP Artesia	M2	RPQ	R	43000	38000	19998	18002	Y	N	Y	Y		2022-03-03	intra3
79029	CENTRAL	DCP FUEL TAP EDDY	MQ	DPQ	D	1000	1500	107	1393	Y	N	N	Y		2022-03-03	intra3
79069	CENTRAL	DCP ZIA II	M2	RPQ	R	125000	125000	50700	74300	Y	N	N	Y		2022-03-03	intra3
12354	CENTRAL	DOMINION GAS/TULE LAKE INTERCONNECT	M2	RPQ	R	10000	5000	600	4400	Y	N	N	Y		2022-03-03	intra3
13199	CENTRAL	EASTERN NEW MEXICO ROOSEVELT	MQ	DPQ	D	10000	10000	200	9800	N	N	N	Y		2022-03-03	intra3
500540	SAN JUAN2	EL PASO BLANCO I/C	MQ	DPQ	D	440000	440000	42726	397274	N	N	N	Y		2022-03-03	intra3
57336	PANHANDLE	ENERGAS DEL-GRAY	MQ	DPQ	D	50000	10000	136	9864	Y	N	N	Y		2022-03-03	intra3
53772	PANHANDLE	ENERGAS INTERCONNECT (STOCKER M M)	MQ	DPQ	D	500	500	3	497	N	N	N	Y		2022-03-03	intra3
78423	SAN JUAN	ENTERPRISE CHACO PLANT I/C	M2	RPQ	R	250000	210000	162099	47901	Y	N	N	Y		2022-03-03	intra3
78093	CENTRAL	ENTERPRISE EDDY	M2	RPQ	R	100000	100000	32000	68000	Y	N	N	Y		2022-03-03	intra3
79075	WEST TEXAS	ENTERPRISE SOUTH EDDY	M2	RPQ	R	200000	200000	80581	119419	Y	N	N	Y		2022-03-03	intra3
500515	WEST TEXAS	ENTERPRISE WAHA PECOS	MQ	DPQ	D	180000	180000	36000	144000	N	N	N	Y		2022-03-03	intra3
56943	WEST TEXAS	ENTERPRISE WARD	MQ	DPQ	D	155000	155000	47879	107121	N	N	N	Y		2022-03-03	intra3
79063	WEST TEXAS	EOG PITCHFORK-DELIVERY	MQ	DPQ	D	10000	13500	8387	5113	Y	N	N	Y		2022-03-03	intra3
100757	WEST TEXAS	EOG Red Hills	MQ	DPQ	D	55000	55000	19734	35266	Y	N	N	Y		2022-03-03	intra3
78269	WEST TEXAS	ETC BLK #16 FUEL	MQ	DPQ	D	1000	2000	1	1999	Y	N	N	Y		2022-03-03	intra3
79087	WEST TEXAS	ETC HALLEY	M2	RPQ	R	90000	90000	49965	40035	Y	N	N	Y		2022-03-03	intra3
100704	PANHANDLE	ETC ISAAC FUEL	MQ	DPQ	D	2000	2000	200	1800	Y	N	N	Y		2022-03-03	intra3
79030	WEST TEXAS	ETC JV RANCH	M2	RPQ	R	100000	100000	43000	57000	Y	N	Y	Y		2022-03-03	intra3
100701	WEST TEXAS	ETC PYOTE FUEL	MQ	DPQ	D	2000	2000	390	1610	Y	N	N	Y		2022-03-03	intra3
500607	WEST TEXAS	ETC PYOTE STATION  145	MQ	DPQ	D	1000	1000	350	650	Y	N	N	Y		2022-03-03	intra3
100705	WEST TEXAS	ETC RED HILLS FUEL	MQ	DPQ	D	3000	3000	2400	600	Y	N	N	Y		2022-03-03	intra3
500392	WEST TEXAS	ETC WAHA FUEL (COMP 765)	MQ	DPQ	D	270	3000	60	2940	Y	N	N	Y		2022-03-03	intra3
78449	CENTRAL	FEAGAN CHAVES	M2	RPQ	R	50000	5000	1200	3800	Y	N	N	Y		2022-03-03	intra3
500134	W. THOREAU	FLAGSTAFF DELIVERY POINT	MQ	DPQ	D	31000	31000	10290	20710	N	N	N	Y		2022-03-03	intra3
10552	CENTRAL	FRONTIER MALJAMAR PLANT	M2	RPQ	R	75000	75000	69152	5848	Y	N	N	Y		2022-03-03	intra3
100744	WEST TEXAS	GCX WAHA	MQ	DPQ	D	250000	250000	17100	232900	Y	N	N	Y		2022-03-03	intra3
78480	PHOENIX	GILA RIVER PLANT	MQ	DPQ	D	485000	485000	173077	311923	N	N	N	Y		2022-03-03	intra3
78489	PHOENIX	GRAND AVENUE DELIVERY	MQ	DPQ	D	35000	43800	7319	36481	N	N	N	Y		2022-03-03	intra3
13315	PANHANDLE	H SIMONS #1	MQ	DPQ	D	3000	3000	25	2975	N	N	N	Y		2022-03-03	intra3
58444	PANHANDLE	I.S.I. FARM TAP-PARMER	MQ	DPQ	D	5000	11000	2527	8473	N	N	N	Y		2022-03-03	intra3
500239	CENTRAL	IACX BITTER LAKES	M2	RPQ	R	60000	59000	7851	51149	N	N	N	Y		2022-03-03	intra3
500238	CENTRAL	IACX RED BLUFF	M2	RPQ	R	40000	45000	6644	38356	N	N	N	Y		2022-03-03	intra3
56935	CENTRAL	INTEGRATED SERVICES DP-CHAVES	MQ	DPQ	D	3100	3100	2162	938	N	N	N	Y		2022-03-03	intra3
79001	WEST TEXAS	INTREPID NORTH	MQ	DPQ	D		3800	70	3730	N	N	N	N	Design Capacity unavailable	2022-03-03	intra3
78386	WEST TEXAS	KM KEYSTONE STORAGE	MQ	DPQ	D	150000	150000	10000	140000	N	N	N	Y		2022-03-03	intra3
78386	WEST TEXAS	KM KEYSTONE STORAGE	M2	RPQ	R	211000	211000	33222	177778	Y	N	N	Y		2022-03-03	intra3
13328	PANHANDLE	L LUSK	MQ	DPQ	D	3000	1000	15	985	N	N	N	Y		2022-03-03	intra3
100727	WEST TEXAS	Lucid Roadrunner	M2	RPQ	R	160000	160000	125348	34652	Y	N	N	Y		2022-03-03	intra3
100716	PANHANDLE	NANNETTE GARCIA	MQ	DPQ	D	3000	3000	1	2999	N	N	N	Y		2022-03-03	intra3
13306	PANHANDLE	NEW MEXICO NAT. GAS CARSON TAP	MQ	DPQ	D	500	5000	15	4985	N	N	N	Y		2022-03-03	intra3
500084	CENTRAL	NMG BELEN TBS	MQ	DPQ	D	10000	14000	3913	10087	N	N	N	Y		2022-03-03	intra3
56422	SAN JUAN	NMG BLOOMFIELD	MQ	DPQ	D	150000	165000	25914	139086	Y	N	N	Y		2022-03-03	intra3
9236	PANHANDLE	NMG CURRY COUNTY	MQ	DPQ	D	22000	13000	4178	8822	Y	N	N	Y		2022-03-03	intra3
79091	PANHANDLE	NMG FARWELL	MQ	DPQ	D	30000	30000	1956	28044	N	N	N	Y		2022-03-03	intra3
60921	CENTRAL	NMG RIO PUERCO BI-DIR	MQ	DPQ	D	300000	300000	50000	250000	N	N	N	Y		2022-03-03	intra3
58710	CENTRAL	NMG THOMPSON	MQ	DPQ	D	50000	50000	1245	48755	Y	N	N	Y		2022-03-03	intra3
61334	WEST TEXAS	NNG/TW ESTES WARD	MQ	DPQ	D	50000	50000	17781	32219	N	N	N	Y		2022-03-03	intra3
60667	PANHANDLE	NNG/TW GRAY ITE	MQ	DPQ	D	175000	200000	30000	170000	N	N	N	Y		2022-03-03	intra3
500383	W. THOREAU	NUCOR STEEL I/C	MQ	DPQ	D	5000	5000	946	4054	N	N	N	Y		2022-03-03	intra3
8042	PANHANDLE	PEPL HANSFORD CACTUS	MQ	DPQ	D	80000	80000	28243	51757	N	N	N	Y		2022-03-03	intra3
56698	W. THOREAU	PG&E TOPOCK	MQ	DPQ	D	375000	380000	96679	283321	Y	N	N	Y		2022-03-03	intra3
100747	WEST TEXAS	PHP TW Waha	MQ	DPQ	D	25000	25000	25000	0	Y	N	N	Y		2022-03-03	intra3
78342	SAN JUAN2	QUESTAR BLOOMFIELD I/C	MQ	DPQ	D	120000	120000	550	119450	Y	N	N	Y		2022-03-03	intra3
78490	PHOENIX	RAINBOW VALLEY DELIVERY	MQ	DPQ	D	35000	35000	5075	29925	N	N	N	Y		2022-03-03	intra3
500538	SAN JUAN2	RED CEDAR ARKANSAS LOOP	M2	RPQ	R	350000	350000	75523	274477	Y	N	N	Y		2022-03-03	intra3
78121	SAN JUAN2	RED CEDAR LAPLATA REC	M2	RPQ	R	50000	50000	7823	42177	N	N	N	Y		2022-03-03	intra3
78484	PHOENIX	RED HAWK PLANT	MQ	DPQ	D	500000	500000	864	499136	N	N	N	Y		2022-03-03	intra3
78496	PHOENIX	SANTAN PLANT	MQ	DPQ	D	144084	203000	46918	156082	N	N	N	Y		2022-03-03	intra3
10487	W. THOREAU	SOCAL NEEDLES	MQ	DPQ	D	850000	850000	595102	254898	Y	N	N	Y		2022-03-03	intra3
10594	PANHANDLE	SOUTHERN STAR-CANADIAN RIVER	MQ	DPQ	D	150000	150000	29379	120621	N	N	N	Y		2022-03-03	intra3
78403	PANHANDLE	SOUTHWEST CHEESE I/C	MQ	DPQ	D	5000	5000	2100	2900	N	N	N	Y		2022-03-03	intra3
78509	PANHANDLE	SPURLOCK #1	MQ	DPQ	D	3500	5000	39	4961	N	N	N	Y		2022-03-03	intra3
100737	CENTRAL	SUMMIT LANE	M2	RPQ	R	200000	200000	1450	198550	N	N	N	Y		2022-03-03	intra3
78481	PHOENIX	SUN VALLEY SOUTH DELIVERY	MQ	DPQ	D	35000	35000	293	34707	N	N	N	Y		2022-03-03	intra3
78492	PHOENIX	SUNDANCE PLANT	MQ	DPQ	D	210000	210000	4992	205008	N	N	N	Y		2022-03-03	intra3
79061	PHOENIX	SWG JOMAX	MQ	DPQ	D	25900	24900	1952	22948	N	N	N	Y		2022-03-03	intra3
100739	WEST TEXAS	TARGA DK BOYD FUEL	MQ	DPQ	D	3800	4000	1600	2400	Y	N	N	Y		2022-03-03	intra3
79074	WEST TEXAS	TARGA FUEL	MQ	DPQ	D	5000	5000	650	4350	Y	N	N	Y		2022-03-03	intra3
79026	PANHANDLE	TKO WILLIAMS	MQ	DPQ	D	1600	1600	73	1527	N	N	N	Y		2022-03-03	intra3
100718	WEST TEXAS	TRANS PECOS I/C	MQ	DPQ	D	500000	500000	11094	488906	N	N	N	Y		2022-03-03	intra3
13335	PANHANDLE	TW (CABOT) RANDALL CO COUNTRY CLUB	MQ	DPQ	D	5000	5000	29	4971	N	N	N	Y		2022-03-03	intra3
56774	SAN JUAN	TW STANDING ROCK I/C	MQ	DPQ	D	3000	3000	241	2759	N	N	N	Y		2022-03-03	intra3
78003	W. THOREAU	TW/SGTC MOJAVE DEL.	MQ	DPQ	D	252000	252000	72962	179038	N	N	N	Y		2022-03-03	intra3
13300	WEST TEXAS	TW/WALTON FUEL DELIVERY	MQ	DPQ	D	1000	3000	50	2950	Y	N	N	Y		2022-03-03	intra3
500612	PANHANDLE	TW/WTG/HANSFORD CO I/C	MQ	DPQ	D	6000	6000	2619	3381	N	N	N	Y		2022-03-03	intra3
500632	SAN JUAN	TWPL/TRANSCOLORADO BLANCO	M2	RPQ	R	450000	450000	96623	353377	N	N	N	Y		2022-03-03	intra3
100730	WEST TEXAS	Targa Wildcat	M2	RPQ	R	200000	200000	53563	146437	Y	N	N	Y		2022-03-03	intra3
9260	PANHANDLE	WEST TX GAS/TW  (ENERGAS) RANDALL CANYON	MQ	DPQ	D	3000	3000	20	2980	N	N	N	Y		2022-03-03	intra3
16540	WEST TEXAS	WEST TX GAS/TW  WINKLER WEST TEXAS	MQ	DPQ	D	5000	11000	1746	9254	N	N	N	Y		2022-03-03	intra3
9259	PANHANDLE	WEST TX GAS/TW (ENERGAS) GRAY PAMPA	MQ	DPQ	D	3000	3000	9	2991	N	N	N	Y		2022-03-03	intra3
500535	SAN JUAN2	WFS IGNACIO PLANT I/C	M2	RPQ	R	300000	300000	36932	263068	Y	N	N	Y		2022-03-03	intra3
56419	SAN JUAN	WILLIAMS FIELD MILAGRO PLANT	M2	RPQ	R	450000	500000	161597	338403	Y	N	N	Y		2022-03-03	intra3
